Requirements;Description;Requirement Specification;Component;Test ID;REC-Nr. Specification;Related Specification;REC-Nr. (related Spec.);<- Verification of Implementation Spec.;<- Verification of Implementation related Spec
UR-027;The user must be able to see the initialization status of the system;HPSRS-010;Host PC;VERIF-HPC-001;REC-00937, REC-00938, REC-00729, REC-00730;;;PIO22RM-041;
;;SSRS-MPA-016;MPA;T-UI-MPA-016 ;REC-00884;;;;
;;SSRS-MPA-017;MPA;T-UI-MPA-017 ;REC-00884;;;;
;;SSRS-MPA-019;MPA;T-UI-MPA-019 ;REC-00884;;;;
;;SSRS-MPA-023;MPA;T-UI-MPA-023 ;REC-00884;;;;
;;SSRS-MPA-129;"MPC
";"
T-SF-MPA-001

T-SF-MPA-002";REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;SSRS-MPA-130;"MPA, MPC

";"T-SF-MPA-003

T-SF-MPA-004";REC-00884, REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;SSRS-MPA-131;MPA, MPC;T-SF-MPA-004;REC-00884, REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;;;;;;;PIO22RM-024-2;
;;SSRS-MPA-132;"MPC

";T-SF-MPA-005;REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;XY-FW-002;;;"REC-00085 REC-00263
REC-00901
REC-00227";;;;
;;XY-FW-020;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-003;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;Z-FW-002;;;", REC-00520
, REC-00227";;;;
;;Z-FW-020;;;", REC-00520
, REC-00227";Z-FW-003;", REC-00520
, REC-00227";;
;;Z-FW-058;;;, REC-00520;;;;
UR-028;The user must be able to see that the startup was successful.;SSRS-MPA-025;MPA;T-UI-MPA-025 ;REC-00884;;;;
;;SSRS-MPA-130;"MPA, MPC

";"T-SF-MPA-003

T-SF-MPA-004";REC-00884, REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;SSRS-MPA-132;"MPC

";T-SF-MPA-005;REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
UR-029;The user must receive a message on how to solve and/or to react on an initialization error.;SSRS-MPA-018;MPA;T-UI-MPA-018 ;REC-00884;;;;
;;SSRS-MPA-020;MPA;T-UI-MPA-020 ;REC-00884;;;;
;;SSRS-MPA-021;MPA;T-UI-MPA-021 ;REC-00884;;;;
;;SSRS-MPA-022;MPA;T-UI-MPA-022 ;REC-00884;;;;
;;SSRS-MPA-024;MPA;T-UI-MPA-024 ;REC-00884;;;;
;;SSRS-MPA-129;"MPC
";"
T-SF-MPA-001

T-SF-MPA-002";REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;SSRS-MPA-130;"MPA, MPC

";"T-SF-MPA-003

T-SF-MPA-004";REC-00884, REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;SSRS-MPA-131;MPA, MPC;T-SF-MPA-004;REC-00884, REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
;;;;;;;;PIO22RM-024-2;
;;SSRS-MPA-132;"MPC

";T-SF-MPA-005;REC-00863;;;PIO22RM-015-2;
;;;;;;;;PIO22RM-016-2;
UR-030;With the system the user must be able to insert multiple slides at once.;TRAY-012;;;REC-00895;;;;
;;XY-MECH-001;;;REC-00514;;;;
UR-031;With the system the user must be able to place slides even and plane.;TRAY-012;;;REC-00895;;;;
UR-032;With the system the user must be able to handle slides without spillage.;TRAY-012;;;REC-00895;;;;
UR-033;With the system the user must be able to understand the correct insertion of the slides.;SSRS-MPA-028;MPA;T-UI-MPA-028 ;REC-00884;;;;
;;SSRS-MPA-029;MPA;T-UI-MPA-029 ;REC-00884;;;PIO22RM-032;
;;TRAY-012;;;REC-00895;;;;
UR-035;With the system the user must be able to to receive an overview image for each slide in the system.;OP-OV-001;;T-IB-MPA-004;REC-00539;;;;
;;SSRS-MPA-026;MPA;T-UI-MPA-026 ;REC-00884;;;;
;;SSRS-MPA-261;"MPA
";T-UI-MPA-030;REC-00884;;;;
;;SSRS-MPA-052;MPA-SIP;T-UI-MPA-RSP-028;REC-00884;;;;
;;SSRS-MPA-136;"MPA
";"
T-SF-MPA-008

T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012

T-SF-MPA-013";REC-00884;;;;
;;SSRS-MPA-137;"	
MPA
";"
T-SF-MPA-008

T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012

T-SF-MPA-013";REC-00884;;;;
;;SSRS-MPA-138;"MPA
";"
T-SF-MPA-008

T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-139;"	
MPA";"T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";"REC-00884
";;;;
;;SSRS-MPA-140;MPA;"T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-141;MPA;T-SF-MPA-011;REC-00884;;;;
;;SSRS-MPA-142;MPA;"T-SF-MPA-011

T-SF-MPA-013";REC-00884;;;;
;;SSRS-MPA-143;MPA;"T-SF-MPA-011

T-SF-MPA-013";REC-00884;;;;
;;SSRS-MPA-144;MPA;T-SF-MPA-008;REC-00884;;;;
;;SSRS-MPA-145;MPA;"T-SF-MPA-016

T-SF-MPA-018";REC-00884;;;;
;;SSRS-MPA-148;MPA;T-SF-MPA-015;REC-00884;;;;
;;SSRS-MPA-149;MPA;T-SF-MPA-015;REC-00884;;;PIO22RM-030;
;;SSRS-MPA-160;"MPA, MPC
";"T-SF-MPA-014

T-SF-MPA-019";REC-00884, REC-00863;;;;
;;SSRS-MPA-161;"	
MPC";T-SF-MPA-020;REC-00863;;;;
;;SSRS-MPA-162;"	
MPC";T-SF-MPA-021;REC-00863;;;;
;;SSRS-MPA-163;"	
MPC";T-SF-MPA-022;REC-00863;;;;
;;SSRS-MPA-164;"	
MPC";T-SF-MPA-023;REC-00863;;;;
;;SSRS-MPA-165;MPA, MPC;"T-SF-MPA-014

T-SF-MPA-015";REC-00884, REC-00863;;;;
;;SSRS-MPA-166;MPA, PPI;T-SF-MPA-024;REC-00884, REC-00737;;;;
;;SSRS-MPA-167;MPA, MPC;"T-SF-MPA-025

T-SF-MPA-026

T-INT-MPNG-020

T-INT-MPNG-021

T-INT-MPNG-022";REC-00884, REC-00863;;;;
;;XY-EL-003;;;REC-00065;;;;
;;XY-FW-010;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-011;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-012;"REC-00085 REC-00263
REC-00901";;PIO22RM-037
;;;;;;;;;PIO22RM-054
;;;;;;XY-FW-013;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-014;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-033;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-051;"REC-00085 REC-00263
REC-00901";;
;;Z-EL-003;;;REC-00072;;;;
;;Z-MECH-003;;;, , REC-00517;;;;
UR-036;With the system the user must be able to quickly receive an overview image.;OP-OV-002;;;",
REC-00906
REC-00539 REC-00065";;;;
;;SSRS-MPA-027;MPA;T-UI-MPA-027 ;REC-00884;;;;
;;SSRS-MPA-032;"MPA

 ";"T-UI-MPA-032 T-IB-MPA-005

T-IB-MPA-006";REC-00884;;;;
;;SSRS-MPA-040;"MPA-SIP

";"T-UI-MPA-RSP-014

T-IB-MPA-RSP-018";REC-00884;;;;
;;SSRS-MPA-133;MPA;T-SF-MPA-006;REC-00884;;;;
;;SSRS-MPA-134;MPC;T-INT-MPNG-023;REC-00863;;;PIO22RM-028;
;;SSRS-MPA-135;MPC;T-SF-MPA-006;REC-00863;;;;
;;SSRS-MPA-145;MPA;"T-SF-MPA-016

T-SF-MPA-018";REC-00884;;;;
;;SSRS-MPA-146;MPA;"T-IB-MPA-026

T-IB-MPA-027

T-SF-MPA-017

T-SF-MPA-019";REC-00884;;;;
;;SSRS-MPA-147;MPA;T-SF-MPA-014;REC-00884;;;;
;;SSRS-MPA-148;MPA;T-SF-MPA-015;REC-00884;;;;
;;SSRS-MPA-149;MPA;T-SF-MPA-015;REC-00884;;;PIO22RM-030;
;;SSRS-MPA-150;MPA;T-SF-MPA-015;REC-00884;;;;
;;XY-FW-010;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-011;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-012;"REC-00085 REC-00263
REC-00901";;PIO22RM-037
;;;;;;;;;PIO22RM-054
;;;;;;XY-FW-013;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-014;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-033;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-051;"REC-00085 REC-00263
REC-00901";;
;;XY-FW-015;;;"REC-00085 REC-00263
REC-00901";XY-FW-100;"REC-00085 REC-00263
REC-00901";;
;;Z-FW-010;;;", REC-00520
, REC-00227";Z-FW-011;", REC-00520
, REC-00227";;
;;;;;;Z-FW-012;, REC-00520;;PIO22RM-037
;;;;;;Z-FW-013;", REC-00520
, REC-00227";;
;;;;;;Z-FW-014;", REC-00520
, REC-00227";;
;;;;;;Z-FW-051;, REC-00520;;
UR-038;With the system the user must be able to see an overview of all overview images.;SSRS-MPA-031;"MPA

"; T-UI-MPA-031 T-IB-MPA-003;REC-00884;;;;
;;SSRS-MPA-050;MPA-SIP;T-UI-MPA-RSP-026;REC-00884;;;;
;;SSRS-MPA-052;MPA-SIP;T-UI-MPA-RSP-028;REC-00884;;;;
UR-039;With the system the user must be able to navigate between slides referred by overview images.;SSRS-MPA-053;"	
MPA-SIP

";"T-UI-MPA-RSP-029

T-IB-MPA-RSP-001

T-IB-MPA-RSP-002";REC-00884;;;;
;;SSRS-MPA-137;"	
MPA
";"
T-SF-MPA-008

T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012

T-SF-MPA-013";REC-00884;;;;
;;SSRS-MPA-138;"MPA
";"
T-SF-MPA-008

T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-139;"MPA

";"T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-140;MPA;"T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-141;MPA;T-SF-MPA-011;REC-00884;;;;
UR-041;With the system the user must be able to navigate to an ROI using the overview image.;SSRS-MPA-048;MPA-SIP;T-UI-MPA-RSP-024;REC-00884;;;;
;;SSRS-MPA-049;MPA-SIP;T-UI-MPA-RSP-025;REC-00884;;;;
;;XY-FW-010;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-011;"REC-00085 REC-00263
REC-00901
REC-00227";;
